,级别,课时,日语单词,词性,中文释意,记忆标记
1194,初级,第27课,かんびょうします（看病～）,动3,护理,
1195,初级,第27课,けんかします（喧嘩～）,动3,吵架，打架,
1196,初级,第27课,りようします（利用～）,动3,利用,
1197,初级,第27课,そうだんします（そうだん～）,动3,商谈,
1226,初级,第28课,ひろいます（拾います）,动1,捡，拾,
1227,初级,第28课,やくします（訳します）,动1,翻译,
1228,初级,第28课,くれます,动2,给,
1229,初级,第28课,とどけます（届けます）,动2,送到，送去,
1230,初级,第28课,あんないします（案内～）,动3,向导，导游,
1231,初级,第28课,こうかんします（交換～）,动3,换，交换,
1232,初级,第28课,しょうかいします（紹介～）,动3,介绍,
1262,初级,第29课,とまります（止まります）,动1,停，停住,
1263,初级,第29课,かわります（変わります）,动1,变，转变,
1264,初级,第29课,がんばります（頑張ります）,动1,拼命努力,
1265,初级,第29课,あやまります（謝ります）,动1,道歉,
1266,初级,第29课,サボります,动1,逃学，怠工,
1267,初级,第29课,やぶります（破ります）,动1,爽约，打破,
1268,初级,第29课,ひきます（引きます）,动1,拉，抽,
1269,初级,第29课,まもります（守ります）,动1,遵守，保护,
1270,初级,第29课,こたえます（答えます）,动2,回答,
1271,初级,第29课,にげます（逃げます）,动2,逃跑,
1272,初级,第29课,たすけます（助けます）,动2,救助，帮助,
1273,初级,第29课,つけます（付けます）,动2,添加，附加,
1274,初级,第29课,おぼえます（覚えます）,动2,记住，掌握,
1275,初级,第29课,ていしゅつします（提出～）,动3,提交，提出,
1276,初级,第29课,えんりょします（遠慮～）,动3,客气,
1277,初级,第29课,ちゅういします（注意～）,动3,注意,
1278,初级,第29课,シュートします,动3,（足球）射门，投篮,
1308,初级,第30课,そろいます,动1,到齐，齐全,
1309,初级,第30课,よります（寄ります）,动1,顺便去；靠近,
1310,初级,第30课,ひらきます（開きます）,动1,开，开张,
1311,初级,第30课,むかえます（迎えます）,动2,迎接,
1312,初级,第30课,ひっこします（引っ越します）,动1,搬迁,
1313,初级,第30课,こわれます（壊れます）,动2,出故障，坏,
1314,初级,第30课,まちがえます（間違えます）,动2,搞错,
1315,初级,第30课,しゅっぱつします（出発～）,动3,出发,
1316,初级,第30课,てんしょくします（転職～）,动3,换工作,
1317,初级,第30课,パンクします,动3,轮胎爆裂，撑破,
1348,初级,第31课,おします（押します）,动1,按，推，挤,
1349,初级,第31课,つきます,动1,灯亮，灯开,
1350,初级,第31课,さがります（下がります）,动1,下降，降低,
1351,初级,第31课,おこります（怒ります）,动1,生气,
1352,初级,第31课,まわします（回します）,动1,转，传送，传递,
1353,初级,第31课,うごきます（動きます）,动1,运转，转动,
1354,初级,第31课,いきます（生きます）,动2,活，生存,
1355,初级,第31课,おります（下ります）,动2,下，下来,
1356,初级,第31课,フリーズします,动3,死机,
1357,初级,第31课,こしょうします（故障～）,动3,故障,
1391,初级,第32课,おこないます（行います）,动1,开，举行,
1392,初级,第32课,あがります（上がります）,动1,提高，涨,
1393,初级,第32课,のりかえます（乗り換えます）,动2,换乘,
1394,初级,第32课,やめます（辞めます）,动2,辞去,
1395,初级,第32课,りゅうがくします（留学～）,动3,留学,
1396,初级,第32课,にゅうがくします（入学～）,动3,入学,
1397,初级,第32课,りゅうこうします（流行～）,动3,流行,
1398,初级,第32课,にゅういんします（入院～）,动3,住院,
1399,初级,第32课,おじゃまします（お邪魔～）,动3,打扰，拜访,
1400,初级,第32课,たんとうします（担当～）,动3,承担,
1428,初级,第33课,しまります（閉まります）,动1,关闭，关,
1429,初级,第33课,こわします（壊します）,动1,弄坏,
1430,初级,第33课,わります（割ります）,动1,割开，打破，打坏,
1431,初级,第33课,つきます（付きます）,动1,附带，附加,
1432,初级,第33课,かかります（掛かります）,动1,挂，悬挂,
1433,初级,第33课,よごします（汚します）,动1,弄脏,
1434,初级,第33课,やみます,动1,停，停息，停止,
1435,初级,第33课,たちます（建ちます）,动1,盖，建,
1436,初级,第33课,ならびます（並びます）,动1,排队，排，列队,
1437,初级,第33课,つきます（着きます）,动1,到，到达,
1438,初级,第33课,かぶります,动1,戴,
1439,初级,第33课,はきます,动1,穿（鞋，裤子）,
1440,初级,第33课,かいます（飼います）,动1,饲养,
1441,初级,第33课,きえます（消えます）,动2,熄灭，消失,
1442,初级,第33课,かけます（掛けます）,动2,挂,
1443,初级,第33课,おちます（落ちます）,动2,落下，掉,
1444,初级,第33课,われます（割れます）,动2,裂开，破裂,
1445,初级,第33课,たてます（建てます）,动2,盖，建造,
1446,初级,第33课,まけます（負けます）,动2,输，败,
1447,初级,第33课,よごれます（汚れます）,动2,脏,
1478,初级,第34课,やきます(焼きます),动1,烤，烧，烧毁,
1479,初级,第34课,かせぎます(稼ぎます) ,动1,挣钱，赚钱,
1480,初级,第34课,のこります(残ります) ,动1,剩余，剩下,
1481,初级,第34课,つつみます(包みます) ,动1,卷，包裹,
1482,初级,第34课,たのみます(頼みます) ,动1,点（菜）；请求；托付,
1483,初级,第34课,はります,动1,粘，贴,
1484,初级,第34课,かざります(飾ります) ,动1,装饰,
1485,初级,第34课,しまいます,动1,收拾起来，放到～里边,
1486,初级,第34课,あいます(合います) ,动1,合适，适合,
1487,初级,第34课,もどします(戻します) ,动1,放回，返还，返回,
1488,初级,第34课,ためます,动2,积攒，储存,
1489,初级,第34课,ならべます(並べます) ,动2,排列,
1490,初级,第34课,あずけます(預けます) ,动2,寄存，托付,
1491,初级,第34课,つづけます(続けます) ,动2,继续，持续,
1492,初级,第34课,やせます(痩せ～),动2,瘦,
1493,初级,第34课,ほうもんします(訪問～),动3,拜访，访问,
1494,初级,第34课,ちょきんします(貯金～) ,动3,存钱，储蓄,
1495,初级,第34课,かんげいします(歓迎～) ,动3,欢迎,
1496,初级,第34课,よういします(用意～) ,动3,准备,
1537,初级,第35课,ききます（効きます）,动1,有效，起作用,
1538,初级,第35课,いわいます（祝います）,动1,祝贺,
1539,初级,第35课,あたります（当たります）,动1,中（彩），抽中,
1540,初级,第35课,あきます（空きます）,动1,空，有空,
1541,初级,第35课,くさります（腐ります）,动1,腐烂，腐败,
1542,初级,第35课,みつけます（見つけます）,动2,找到，发现，看见,
1543,初级,第35课,はれます（晴れます）,动2,晴朗，天晴,
1544,初级,第35课,たずねます（訪ねます）,动2,访问，拜访,
1545,初级,第35课,たいざいします（滞在～）,动3,停留，滞留,
1546,初级,第35课,きゅうけいします（休憩～）,动3,休息,
1547,初级,第35课,さんかします（参加～）,动3,参加,
1548,初级,第35课,かんぱいします（乾杯～）,动3,干杯,
1575,初级,第36课,もちあるきます（持ち歩きます）,动1,携带，拿着走,
1576,初级,第36课,くりかえします（繰り返します）,动1,反复,
1577,初级,第36课,さわぎます（騒ぎます）,动1,吵嚷，吵闹,
1578,初级,第36课,まにあいます（間に合います）,动1,来得及，赶得上,
1579,初级,第36课,なきます（鳴きます）,动1,叫，鸣，啼,
1580,初级,第36课,ねむります（眠ります）,动1,睡觉,
1581,初级,第36课,なります（鳴ります）,动1,鸣响，响起,
1582,初级,第36课,よろこびます（喜びます）,动1,喜悦，高兴,
1583,初级,第36课,やくだちます（役立ちます）,动1,有用，有益,
1584,初级,第36课,やといます（雇います）,动1,雇佣,
1585,初级,第36课,なきます（泣きます）,动1,哭，哭泣,
1586,初级,第36课,ふります（振ります）,动1,挥动，摆动,
1587,初级,第36课,みえます（見えます）,动2,看到，看得见,
1588,初级,第36课,きこえます（聞こえます）,动2,听到，听得见,
1589,初级,第36课,つうじます（通じます）,动2,通过，相通,
1590,初级,第36课,あげます（揚げます）,动2,放（风筝）；扬起,
1591,初级,第36课,なれます（慣れます）,动2,习惯,
1592,初级,第36课,ぬれます（濡れます）,动2,淋湿，打湿,
1593,初级,第36课,やけます（焼けます）,动2,着火，燃烧,
1594,初级,第36课,さげます（下げます）,动2,降低，下降,
1595,初级,第36课,しっぱいします（失敗～）,动3,出岔子，失败,
1596,初级,第36课,くろうします（苦労～）,动3,辛苦，辛劳,
1597,初级,第36课,びっくりします,动3,吃惊，吓一跳,
1598,初级,第36课,しゅっせきします（出席～）,动3,出席,
1629,初级,第37课,こえます（超えます）,动2,超过,
1630,初级,第37课,しゅつじょうします（出場～）,动3,参加，出场,
1631,初级,第37课,つまみぐいします（つまみ食い～）,动3,偷吃,
1632,初级,第37课,かんさんします（換算～）,动3,换算,
1633,初级,第37课,ふくしゅうします（復習～）,动3,复习,
1634,初级,第37课,せいこうします（成功～）,动3,成功,
1669,初级,第38课,いりくみます（入り組みます）,动1,错综复杂,
1670,初级,第38课,へります（減ります）,动1,减少,
1671,初级,第38课,うごかします（動かします）,动1,开动，移动，摇动,
1672,初级,第38课,かちます（勝ちます）,动1,取胜，获胜,
1673,初级,第38课,とおりぬけます（通り抜けます）,动2,走得出去，穿过，通过,
1674,初级,第38课,かんじます（感じます）,动2,感觉，觉得,
1675,初级,第38课,とりかえます（取り替えます）,动2,更换，交换,
1676,初级,第38课,てつやします（徹夜～）,动3,熬通宵，彻夜,
1677,初级,第38课,やけどします（火傷～）,动3,烫伤，烧伤,
1715,初级,第39课,みわたします（見渡します）,动1,眺望，远眺,
1716,初级,第39课,つづきます（続きます）,动1,继续，持续,
1717,初级,第39课,なくなります,动1,完，丢失,
1718,初级,第39课,そだちます（育ちます）,动1,生长，成长,
1719,初级,第39课,ふえます（増えます）,动2,增加，增多,
1720,初级,第39课,つれます（連れます）,动2,带，领,
1721,初级,第39课,けっせきします（欠席～）,动3,缺席,
1722,初级,第39课,ゆにゅうします（輸入～）,动3,进口，输入,
1747,初级,第40课,むかいます（向かいます）,动1,往～去,
1748,初级,第40课,そろえます,动2,备齐，凑齐；使一致,
1749,初级,第40课,もれます（漏れます）,动2,漏，泄漏,
1750,初级,第40课,まとめます,动2,汇集；总结，整理,
1751,初级,第40课,かいつうします（開通～）,动3,开通,
1752,初级,第40课,かいちくします（改築～）,动3,改建,
1753,初级,第40课,かんせいします（完成～）,动3,完成,
1754,初级,第40课,にゅうしゃします（入社～）,动3,入社,
1783,初级,第41课,しかります,动1,训，责备，斥责,
1784,初级,第41课,かみます,动1,咬，嚼,
1785,初级,第41课,さそいます（誘います）,动1,邀请，约请,
1786,初级,第41课,まきこみます（巻き込みます）,动1,卷入，卷进,
1787,初级,第41课,いたります（至ります）,动1,到达，达到,
1788,初级,第41课,みつかります（見つかります）,动1,找到，发现　　　　　　　　　　　　　　　,
1789,初级,第41课,ふみます（踏みます）,动1,踩，踏,
1790,初级,第41课,はかります（図ります）,动1,谋求；考虑,
1791,初级,第41课,みこみます（見込みます）,动1,预料，估计,
1792,初级,第41课,ぬすみます（盗みます）,动1,盗取，偷盗,
1793,初级,第41课,おこします（起こします）,动1,叫醒，唤醒,
1794,初级,第41课,ほめます,动2,表扬，赞扬,
1795,初级,第41课,もとめます（求めます）,动2,要求；追求；寻求,
1796,初级,第41课,いじめます,动2,欺负，折磨，欺侮,
1797,初级,第41课,ぶつけます,动2,碰上，撞上；扔，投，掷,
1798,初级,第41课,はっけんします（発見～）,动3,发现,
1799,初级,第41课,じしょくします（辞職～）,动3,辞职,
1800,初级,第41课,そうりつします（創立～）,动3,成立，创立,
1801,初级,第41课,いらいします（依頼～）,动3,委托，请求,
1802,初级,第41课,はつばいします（発売～）,动3,上市，发售，出售,
1803,初级,第41课,かいはつします（開発～）,动3,开发,
1804,初级,第41课,せいぞうします（製造～）,动3,生产，制造,
1805,初级,第41课,かんりします（管理～）,动3,管理,
1806,初级,第41课,じつげんします（実現～）,动3,实现,
1807,初级,第41课,せんれんします（洗練～）,动3,精炼，洗练,
1808,初级,第41课,ほうそうします（放送～）,动3,广播，播送,
1809,初级,第41课,せいさんします（生産～）,动3,生产,
1810,初级,第41课,ほんやくします（翻訳～）,动3,翻译，笔译,
1811,初级,第41课,はつめいします（発明～）,动3,发明,
1841,初级,第42课,あずかります（預かります）,动1,保管，收存,
1842,初级,第42课,きづきます（気づきます）,动1,发觉，发现,
1843,初级,第42课,ひやします（冷やします）,动1,冰镇，冷却,
1844,初级,第42课,おもいだします（思い出します）,动1,想起，想出,
1845,初级,第42课,つげます（告げます）,动2,说，告诉,
1846,初级,第42课,ひえます（冷えます）,动2,变冷；感觉凉,
1847,初级,第42课,しんじます（信じます）,动2,相信，信任,
1848,初级,第42课,おれます（折れます）,动2,折，断；拐弯,
1849,初级,第42课,しゅっきんします（出勤～）,动3,上班，出勤,
